,seed,num_bags,duplicate_bags,total_weight,total_value,fitness,id,name
0,0,58,False,283.2000000000002,3658.0,1.6436486739236158,1,t2_p25_m1.csv
1,1,55,False,284.5000000000002,3579.0,1.6341731193655789,1,t2_p25_m1.csv
2,2,56,False,283.40000000000026,3559.0,1.626759809972694,1,t2_p25_m1.csv
3,3,54,False,283.40000000000015,3503.0,1.6168095612164746,1,t2_p25_m1.csv
4,4,58,False,284.90000000000026,3390.0,1.60199453858527,1,t2_p25_m1.csv
5,5,60,False,283.7000000000003,3826.0,1.675253806157185,1,t2_p25_m1.csv
6,6,60,False,281.6000000000002,3957.0,1.8411618598735653,1,t2_p25_m1.csv
7,7,62,False,283.50000000000017,4004.0,1.856179628174916,1,t2_p25_m1.csv
8,8,54,False,282.0000000000002,3307.0,1.5770714098679544,1,t2_p25_m1.csv
9,9,60,False,285.19999999999976,3943.0,1.6999028599738244,1,t2_p25_m1.csv
10,10,62,False,285.5999999999998,3943.0,1.6985032819097796,1,t2_p25_m1.csv
11,11,56,False,283.0000000000002,3772.0,1.6632027830770966,1,t2_p25_m1.csv
12,12,54,False,282.0000000000002,3145.0,1.548286761680321,1,t2_p25_m1.csv
13,13,56,False,282.40000000000026,3303.0,1.5777641865858687,1,t2_p25_m1.csv
14,14,54,False,283.90000000000015,3168.0,1.559040137657577,1,t2_p25_m1.csv
0,0,59,False,283.30000000000024,3706.0,1.652528335764786,2,t2_p50_m1.csv
1,1,60,False,284.8000000000001,4081.0,1.8744226237234884,2,t2_p50_m1.csv
2,2,63,False,284.8000000000002,4087.0,1.875488721804512,2,t2_p50_m1.csv
3,3,60,False,285.0,3999.0,1.860554371002132,2,t2_p50_m1.csv
4,4,60,False,284.7000000000001,4047.0,1.868030524071373,2,t2_p50_m1.csv
5,5,58,False,284.3000000000001,3548.0,1.627963191560993,2,t2_p50_m1.csv
6,6,63,False,284.8000000000002,4013.0,1.8623401788052227,2,t2_p50_m1.csv
7,7,62,False,284.8000000000003,3895.0,1.6913735832117618,2,t2_p50_m1.csv
8,8,62,False,283.60000000000014,3984.0,1.85297684509782,2,t2_p50_m1.csv
9,9,56,False,281.5000000000002,3443.0,1.5994819137395735,2,t2_p50_m1.csv
10,10,64,False,284.7000000000002,4006.0,1.860745520517713,2,t2_p50_m1.csv
11,11,62,False,284.4000000000002,3976.0,1.8543623985336484,2,t2_p50_m1.csv
12,12,63,False,283.8000000000001,3957.0,1.848881158119179,2,t2_p50_m1.csv
13,13,63,False,285.0,3943.0,1.8506041222459133,2,t2_p50_m1.csv
14,14,61,False,281.3000000000002,3597.0,1.6261433434332109,2,t2_p50_m1.csv
0,0,62,False,284.7000000000002,3991.0,1.8580802753151544,3,t2_p50_m2.csv
1,1,61,False,284.5000000000001,3817.0,1.676461676579509,3,t2_p50_m2.csv
2,2,59,False,282.3000000000002,3972.0,1.846283245427001,3,t2_p50_m2.csv
3,3,61,False,284.90000000000026,4022.0,1.8642902031197408,3,t2_p50_m2.csv
4,4,60,False,284.7000000000002,3991.0,1.8580802753151544,3,t2_p50_m2.csv
5,5,61,False,284.10000000000025,4056.0,1.8675244080350135,3,t2_p50_m2.csv
6,6,63,False,284.5000000000003,4023.0,1.8630643773613147,3,t2_p50_m2.csv
7,7,66,False,284.0000000000002,4145.0,1.8829873190438795,3,t2_p50_m2.csv
8,8,61,False,284.7000000000002,4065.0,1.871228818314444,3,t2_p50_m2.csv
9,9,61,False,284.60000000000025,3999.0,1.8591508622302035,3,t2_p50_m2.csv
10,10,60,False,284.5000000000002,4008.0,1.860399132158756,3,t2_p50_m2.csv
11,11,61,False,283.4000000000002,4070.0,1.8675558298731911,3,t2_p50_m2.csv
12,12,57,False,283.90000000000026,3528.0,1.623006022518985,3,t2_p50_m2.csv
13,13,61,False,284.7000000000002,3980.0,1.8561257621666112,3,t2_p50_m2.csv
14,14,64,False,284.4000000000001,4062.0,1.869643137694984,3,t2_p50_m2.csv
0,0,63,False,282.8000000000002,4085.0,1.8681158119178551,4,t2_p50_m3.csv
1,1,59,False,284.80000000000024,3950.0,1.8511461489544767,4,t2_p50_m3.csv
2,2,60,False,283.70000000000016,3884.0,1.6855594209404114,4,t2_p50_m3.csv
3,3,61,False,284.7000000000001,4100.0,1.87744772378708,4,t2_p50_m3.csv
4,4,62,False,284.6000000000002,3979.0,1.855597201960125,4,t2_p50_m3.csv
5,5,62,False,284.9000000000001,3994.0,1.8593150787416304,4,t2_p50_m3.csv
6,6,63,False,284.70000000000016,3874.0,1.6872913627351966,4,t2_p50_m3.csv
7,7,64,False,283.9000000000002,4012.0,1.8590046010548769,4,t2_p50_m3.csv
8,8,58,False,284.9000000000001,4059.0,1.8708644746193848,4,t2_p50_m3.csv
9,9,61,False,284.40000000000026,4115.0,1.879060337410692,4,t2_p50_m3.csv
10,10,58,False,283.10000000000025,3812.0,1.6706609808102355,4,t2_p50_m3.csv
11,11,58,False,284.70000000000016,3965.0,1.8534605169640528,4,t2_p50_m3.csv
12,12,61,False,284.3000000000003,3924.0,1.694772004638463,4,t2_p50_m3.csv
13,13,63,False,284.6000000000003,3950.0,1.850444394568512,4,t2_p50_m3.csv
14,14,61,False,284.6000000000002,4000.0,1.859328545243707,4,t2_p50_m3.csv
0,0,62,False,284.20000000000016,4092.0,1.8742718737141368,5,t2_p50_m4.csv
1,1,60,False,284.70000000000016,3952.0,1.8511506377885016,5,t2_p50_m4.csv
2,2,61,False,284.7000000000003,3971.0,1.8545266150450763,5,t2_p50_m4.csv
3,3,58,False,283.1000000000002,3705.0,1.651648898365317,5,t2_p50_m4.csv
4,4,63,False,284.90000000000026,4129.0,1.8833022855646588,5,t2_p50_m4.csv
5,5,59,False,284.3000000000001,3725.0,1.6594130849511846,5,t2_p50_m4.csv
6,6,61,False,284.3000000000001,4012.0,1.8604081098268064,5,t2_p50_m4.csv
7,7,64,False,284.90000000000015,4058.0,1.870686791605881,5,t2_p50_m4.csv
8,8,60,False,285.0,3624.0,1.6439232409381663,5,t2_p50_m4.csv
9,9,64,False,284.90000000000026,4041.0,1.8676661803763148,5,t2_p50_m4.csv
10,10,62,False,283.70000000000016,4074.0,1.8693191935061544,5,t2_p50_m4.csv
11,11,64,False,284.90000000000026,4025.0,1.8648232521602524,5,t2_p50_m4.csv
12,12,60,False,284.2000000000002,4075.0,1.8712512624845703,5,t2_p50_m4.csv
13,13,61,False,284.90000000000015,4013.0,1.862691055998205,5,t2_p50_m4.csv
14,14,64,False,282.6000000000002,4068.0,1.864393446302324,5,t2_p50_m4.csv
0,0,63,False,284.40000000000015,4036.0,1.8650233793438828,6,t2_p50_m5.csv
1,1,61,False,284.7000000000003,4053.0,1.869096622152397,6,t2_p50_m5.csv
2,2,61,False,284.0000000000002,4051.0,1.866285115774512,6,t2_p50_m5.csv
3,3,61,False,284.8000000000002,4153.0,1.88721580069577,6,t2_p50_m5.csv
4,4,64,False,283.80000000000024,4134.0,1.8803310515093716,6,t2_p50_m5.csv
5,5,60,False,284.9000000000002,4002.0,1.8607365428496625,6,t2_p50_m5.csv
6,6,61,False,284.2000000000002,3997.0,1.8573919874312652,6,t2_p50_m5.csv
7,7,60,False,284.10000000000025,3988.0,1.855441963116748,6,t2_p50_m5.csv
8,8,62,False,284.30000000000024,3861.0,1.6835779747877164,6,t2_p50_m5.csv
9,9,60,False,284.60000000000014,3952.0,1.8507997605955195,6,t2_p50_m5.csv
10,10,61,False,284.60000000000025,4036.0,1.865725133729848,6,t2_p50_m5.csv
11,11,64,False,284.8000000000002,4116.0,1.8806415291961252,6,t2_p50_m5.csv
12,12,63,False,284.4000000000003,4044.0,1.8664448434519143,6,t2_p50_m5.csv
13,13,64,False,284.8000000000001,4023.0,1.8641170089402617,6,t2_p50_m5.csv
14,14,58,False,283.20000000000016,3639.0,1.6402726966670411,6,t2_p50_m5.csv
0,0,64,False,285.0,4133.0,1.884363894811656,7,t2_p75_m1.csv
1,1,62,False,284.3000000000002,4076.0,1.8717798226910567,7,t2_p75_m1.csv
2,2,62,False,284.7000000000002,4044.0,1.8674974750308613,7,t2_p75_m1.csv
3,3,63,False,283.0000000000001,4107.0,1.8727265926009056,7,t2_p75_m1.csv
4,4,61,False,282.1000000000002,4048.0,1.8590854000673331,7,t2_p75_m1.csv
5,5,66,False,282.9000000000002,4054.0,1.8629585156922164,7,t2_p75_m1.csv
6,6,63,False,283.70000000000016,4125.0,1.8783810271948536,7,t2_p75_m1.csv
7,7,62,False,284.70000000000016,3754.0,1.6659694011147277,7,t2_p75_m1.csv
8,8,62,False,284.5000000000002,4062.0,1.869994014887967,7,t2_p75_m1.csv
9,9,64,False,284.50000000000017,4101.0,1.8769236524146196,7,t2_p75_m1.csv
10,10,59,False,284.6000000000002,4119.0,1.8804728238506725,7,t2_p75_m1.csv
11,11,63,False,283.3000000000002,4124.0,1.87679983540942,7,t2_p75_m1.csv
12,12,62,False,283.50000000000017,4137.0,1.8798114689709355,7,t2_p75_m1.csv
13,13,65,False,284.7000000000001,4062.0,1.870695769273932,7,t2_p75_m1.csv
14,14,63,False,284.9000000000001,4054.0,1.869976059551865,7,t2_p75_m1.csv
0,0,65,False,284.90000000000003,4077.0,1.874062768862455,8,t2_p100_m1.csv
1,1,60,False,285.0,3772.0,1.6702203269367448,8,t2_p100_m1.csv
2,2,61,False,284.9000000000002,3987.0,1.858071297647104,8,t2_p100_m1.csv
3,3,63,False,284.6,4051.0,1.8683903789324057,8,t2_p100_m1.csv
4,4,60,False,284.2000000000001,4155.0,1.8854659035648829,8,t2_p100_m1.csv
5,5,63,False,284.50000000000006,4120.0,1.880299629671193,8,t2_p100_m1.csv
6,6,62,False,284.4000000000002,4086.0,1.8739075300190784,8,t2_p100_m1.csv
7,7,65,False,283.5000000000002,4190.0,1.8892286686866424,8,t2_p100_m1.csv
8,8,64,False,284.40000000000015,4061.0,1.8694654546814804,8,t2_p100_m1.csv
9,9,60,False,284.5,4126.0,1.8813657277522164,8,t2_p100_m1.csv
10,10,62,False,284.20000000000005,3782.0,1.6691901395279245,8,t2_p100_m1.csv
11,11,62,False,284.3000000000002,4169.0,1.88830434294692,8,t2_p100_m1.csv
12,12,62,False,284.1000000000002,4088.0,1.873210264467139,8,t2_p100_m1.csv
13,13,63,False,285.0,4174.0,1.8916488983653164,8,t2_p100_m1.csv
14,14,64,False,284.6000000000002,4145.0,1.8850925822017737,8,t2_p100_m1.csv
0,0,63,False,284.3999999999999,4199.0,1.893985710545019,9,t2_p125_m1.csv
1,1,63,False,284.4,4101.0,1.876572775221636,9,t2_p125_m1.csv
2,2,64,False,284.9000000000001,4162.0,1.8891658250102876,9,t2_p125_m1.csv
3,3,63,False,284.7000000000001,4047.0,1.868030524071373,9,t2_p125_m1.csv
4,4,61,False,285.0,4141.0,1.8857853589196876,9,t2_p125_m1.csv
5,5,62,False,284.8,4118.0,1.8809968952231328,9,t2_p125_m1.csv
6,6,63,False,284.70000000000016,4037.0,1.866253693936334,9,t2_p125_m1.csv
7,7,63,False,283.80000000000007,4278.0,1.9059174054539336,9,t2_p125_m1.csv
8,8,62,False,284.70000000000005,4160.0,1.8881087045973144,9,t2_p125_m1.csv
9,9,62,False,284.2000000000001,4043.0,1.865565406052445,9,t2_p125_m1.csv
10,10,61,False,284.4,4150.0,1.885279242883328,9,t2_p125_m1.csv
11,11,60,False,283.5000000000001,4258.0,1.9013111136049083,9,t2_p125_m1.csv
12,12,63,False,283.0000000000001,4233.0,1.8951146523023985,9,t2_p125_m1.csv
13,13,66,False,285.0,4125.0,1.8829424307036249,9,t2_p125_m1.csv
14,14,61,False,284.40000000000015,4094.0,1.8753289941271092,9,t2_p125_m1.csv
0,0,61,False,283.70000000000016,4024.0,1.8604350428309584,10,t3_p50_m1.csv
1,1,62,False,284.6000000000002,3980.0,1.8557748849736289,10,t3_p50_m1.csv
2,2,55,False,284.5000000000003,3295.0,1.583711143530469,10,t3_p50_m1.csv
3,3,56,False,284.9000000000003,3549.0,1.6302461377323918,10,t3_p50_m1.csv
4,4,62,False,284.70000000000016,3892.0,1.690489656978267,10,t3_p50_m1.csv
5,5,63,False,281.4000000000002,3802.0,1.6629192383944944,10,t3_p50_m1.csv
6,6,62,False,284.70000000000016,3958.0,1.8522167358695247,10,t3_p50_m1.csv
7,7,60,False,283.50000000000017,3815.0,1.6725975386226768,10,t3_p50_m1.csv
8,8,57,False,284.4000000000002,3572.0,1.6325784610780691,10,t3_p50_m1.csv
9,9,58,False,283.80000000000024,3649.0,1.644154789959975,10,t3_p50_m1.csv
10,10,61,False,284.8000000000002,3981.0,1.8566543223730976,10,t3_p50_m1.csv
11,11,61,False,283.3000000000001,3931.0,1.6925070138031653,10,t3_p50_m1.csv
12,12,55,False,284.50000000000017,3249.0,1.5755377249092888,10,t3_p50_m1.csv
13,13,61,False,283.10000000000014,3656.0,1.6429424307036251,10,t3_p50_m1.csv
14,14,63,False,284.9000000000002,3576.0,1.635043579096997,10,t3_p50_m1.csv
0,0,59,False,280.7000000000002,3430.0,1.594365017020163,11,t4_p50_m1.csv
1,1,58,False,284.2000000000002,3826.0,1.6770081921220972,11,t4_p50_m1.csv
2,2,57,False,284.7000000000003,3501.0,1.621015598698239,11,t4_p50_m1.csv
3,3,52,False,283.4000000000002,3138.0,1.551955261287548,11,t4_p50_m1.csv
4,4,60,False,284.0000000000003,3892.0,1.6880335166273903,11,t4_p50_m1.csv
5,5,57,False,284.10000000000014,3384.0,1.5981214229603866,11,t4_p50_m1.csv
6,6,59,False,284.60000000000025,3715.0,1.658688886395093,11,t4_p50_m1.csv
7,7,61,False,283.60000000000025,3693.0,1.6512710881681825,11,t4_p50_m1.csv
8,8,63,False,283.90000000000015,4013.0,1.8591822840683805,11,t4_p50_m1.csv
9,9,55,False,282.00000000000006,3537.0,1.6179385029738529,11,t4_p50_m1.csv
10,10,58,False,281.5000000000002,3440.0,1.598948864699062,11,t4_p50_m1.csv
11,11,58,False,284.60000000000014,3379.0,1.5989873938577794,11,t4_p50_m1.csv
12,12,61,False,283.1000000000001,3645.0,1.640987917555082,11,t4_p50_m1.csv
13,13,62,False,284.50000000000017,3756.0,1.6656230127557707,11,t4_p50_m1.csv
14,14,58,False,282.6000000000002,3694.0,1.6479399992518615,11,t4_p50_m1.csv
0,0,61,False,284.00000000000034,3963.0,1.850649010586168,12,t4_p50_m4.csv
1,1,59,False,283.70000000000016,4011.0,1.858125163655408,12,t4_p50_m4.csv
2,2,60,False,284.40000000000015,4001.0,1.858804473871246,12,t4_p50_m4.csv
3,3,61,False,284.60000000000025,3997.0,1.8587954962031956,12,t4_p50_m4.csv
4,4,60,False,283.90000000000026,3962.0,1.850120450379681,12,t4_p50_m4.csv
5,5,59,False,284.00000000000017,3901.0,1.6896326637489252,12,t4_p50_m4.csv
6,6,62,False,285.0,3890.0,1.691186922530206,12,t4_p50_m4.csv
7,7,64,False,284.60000000000014,4019.0,1.8627045225002807,12,t4_p50_m4.csv
8,8,59,False,284.9000000000002,3319.0,1.5893790446264924,12,t4_p50_m4.csv
9,9,54,False,283.60000000000014,3469.0,1.6114700931433066,12,t4_p50_m4.csv
10,10,61,False,284.80000000000024,3807.0,1.6757374780234175,12,t4_p50_m4.csv
11,11,59,False,283.50000000000017,3616.0,1.637238618935399,12,t4_p50_m4.csv
12,12,55,False,283.90000000000015,3564.0,1.6294026110051254,12,t4_p50_m4.csv
13,13,59,False,284.90000000000026,3403.0,1.604304417760821,12,t4_p50_m4.csv
14,14,60,False,284.40000000000015,3865.0,1.684639584034714,12,t4_p50_m4.csv
0,0,65,False,284.60000000000025,4117.0,1.8801174578236648,13,t4_p100_m4.csv
1,1,61,False,284.8000000000002,3944.0,1.850080050873453,13,t4_p100_m4.csv
2,2,65,False,284.4000000000002,4182.0,1.8909650993154536,13,t4_p100_m4.csv
3,3,63,False,284.8000000000002,4101.0,1.8779762839935668,13,t4_p100_m4.csv
4,4,60,False,284.20000000000016,3912.0,1.692288931283433,13,t4_p100_m4.csv
5,5,61,False,284.4000000000002,4080.0,1.8728414319380549,13,t4_p100_m4.csv
6,6,61,False,284.5000000000002,4077.0,1.8726592600905256,13,t4_p100_m4.csv
7,7,62,False,284.7000000000001,4056.0,1.869629671192908,13,t4_p100_m4.csv
8,8,59,False,283.3000000000002,3950.0,1.84588299105974,13,t4_p100_m4.csv
9,9,65,False,284.2000000000002,4209.0,1.8950607862940945,13,t4_p100_m4.csv
10,10,62,False,284.3000000000002,3980.0,1.8547222533946812,13,t4_p100_m4.csv
11,11,62,False,284.9000000000003,4056.0,1.8703314255788737,13,t4_p100_m4.csv
12,12,60,False,284.3000000000002,3651.0,1.6462645419518953,13,t4_p100_m4.csv
13,13,61,False,285.0,4099.0,1.8783226723525237,13,t4_p100_m4.csv
14,14,63,False,285.0,4024.0,1.86499644633973,13,t4_p100_m4.csv
0,0,64,False,284.90000000000015,4026.0,1.865000935173756,14,t4_p100_m10.csv
1,1,64,False,284.8000000000002,4011.0,1.8619848127782148,14,t4_p100_m10.csv
2,2,60,False,285.0,4137.0,1.885074626865672,14,t4_p100_m10.csv
3,3,59,False,284.90000000000015,4034.0,1.866422399281787,14,t4_p100_m10.csv
4,4,64,False,284.2000000000002,4061.0,1.868763700295516,14,t4_p100_m10.csv
5,5,62,False,283.9000000000002,4193.0,1.8911652264990844,14,t4_p100_m10.csv
6,6,60,False,285.0,4018.0,1.8639303482587064,14,t4_p100_m10.csv
7,7,63,False,284.90000000000015,4140.0,1.8852567987132012,14,t4_p100_m10.csv
8,8,60,False,284.4000000000001,4048.0,1.8671555755059293,14,t4_p100_m10.csv
9,9,64,False,284.60000000000014,4203.0,1.8953981969850004,14,t4_p100_m10.csv
10,10,63,False,284.30000000000024,4213.0,1.8961223955410924,14,t4_p100_m10.csv
11,11,60,False,283.7000000000001,4124.0,1.8782033441813493,14,t4_p100_m10.csv
12,12,58,False,284.8000000000002,4056.0,1.869980548385891,14,t4_p100_m10.csv
13,13,65,False,284.3000000000001,4195.0,1.8929241012980216,14,t4_p100_m10.csv
14,14,64,False,284.1000000000001,4182.0,1.8899124677365056,14,t4_p100_m10.csv
0,0,56,False,284.7000000000003,3503.0,1.621370964725247,15,t5_p50_m1.csv
1,1,61,False,283.30000000000024,3802.0,1.6695859050611612,15,t5_p50_m1.csv
2,2,59,False,282.70000000000016,3970.0,1.847331388171923,15,t5_p50_m1.csv
3,3,52,False,282.8000000000002,3153.0,1.5525152433322118,15,t5_p50_m1.csv
4,4,57,False,284.0000000000003,3700.0,1.6539183780346398,15,t5_p50_m1.csv
5,5,60,False,284.20000000000016,3447.0,1.6096663300041154,15,t5_p50_m1.csv
6,6,57,False,282.3000000000003,3527.0,1.6172143044177618,15,t5_p50_m1.csv
7,7,61,False,284.2000000000002,3717.0,1.657640743650171,15,t5_p50_m1.csv
8,8,61,False,284.7000000000003,3723.0,1.660461227696107,15,t5_p50_m1.csv
9,9,59,False,278.9000000000003,3636.0,1.6246519283282843,15,t5_p50_m1.csv
10,10,61,False,284.1000000000002,3771.0,1.6668847491863996,15,t5_p50_m1.csv
11,11,58,False,283.2000000000002,3561.0,1.6264134216137367,15,t5_p50_m1.csv
12,12,62,False,282.50000000000017,3821.0,1.6701548647738758,15,t5_p50_m1.csv
13,13,60,False,276.9000000000002,3948.0,1.8230714846818548,15,t5_p50_m1.csv
14,14,59,False,284.7000000000002,3566.0,1.632564994575993,15,t5_p50_m1.csv
0,0,58,False,284.7000000000001,3697.0,1.6558414693450048,16,t10_p100_m4.csv
1,1,60,False,284.30000000000024,3468.0,1.61374855048068,16,t10_p100_m4.csv
2,2,60,False,284.8000000000002,3911.0,1.694216511427824,16,t10_p100_m4.csv
3,3,57,False,284.7000000000003,3473.0,1.6160404743201298,16,t10_p100_m4.csv
4,4,58,False,283.30000000000024,3853.0,1.6786477387498606,16,t10_p100_m4.csv
5,5,55,False,283.4000000000002,3358.0,1.5910455242584078,16,t10_p100_m4.csv
6,6,59,False,284.50000000000034,3549.0,1.628842628960462,16,t10_p100_m4.csv
7,7,64,False,283.6000000000002,4019.0,1.8591957505704568,16,t10_p100_m4.csv
8,8,56,False,284.7000000000004,3398.0,1.6027142483073369,16,t10_p100_m4.csv
9,9,58,False,284.9000000000001,3612.0,1.6414401675831374,16,t10_p100_m4.csv
10,10,59,False,285.19999999999976,3943.0,1.6999028599738244,16,t10_p100_m4.csv
11,11,58,False,284.70000000000016,3950.0,1.850795271761494,16,t10_p100_m4.csv
12,12,55,False,284.30000000000024,3345.0,1.5918935398196994,16,t10_p100_m4.csv
13,13,64,False,284.3000000000001,4012.0,1.8604081098268064,16,t10_p100_m4.csv
14,14,58,False,281.4000000000002,3285.0,1.5710571204129735,16,t10_p100_m4.csv
